Date,Open,High,Low,Close,Adj Close,Volume
2022-08-19,262.500000,265.500000,261.000000,264.500000,264.500000,3548301
2022-08-22,262.500000,265.500000,262.500000,265.000000,265.000000,1834000
2022-08-23,265.000000,266.000000,260.500000,260.500000,260.500000,3796266
2022-08-24,261.000000,261.000000,253.500000,254.000000,254.000000,4350922
2022-08-25,256.000000,257.000000,252.000000,255.500000,255.500000,3299268
2022-08-26,257.000000,258.500000,256.000000,258.500000,258.500000,2456312
2022-08-29,251.500000,255.000000,251.000000,253.000000,253.000000,2586426
2022-08-30,256.000000,258.000000,253.000000,257.000000,257.000000,2717543
2022-08-31,254.000000,256.000000,254.000000,255.000000,255.000000,2204303
2022-09-01,253.500000,254.000000,251.000000,252.500000,252.500000,2561721
2022-09-02,255.000000,256.000000,253.000000,253.500000,253.500000,1685999
2022-09-05,255.500000,259.000000,254.500000,258.000000,258.000000,2016084
2022-09-06,260.000000,261.000000,254.000000,255.000000,255.000000,2093283
2022-09-07,252.500000,253.000000,241.000000,242.000000,242.000000,7846341
2022-09-08,245.000000,249.500000,243.500000,249.000000,249.000000,3911260
2022-09-12,251.000000,254.500000,250.500000,254.000000,254.000000,2893454
2022-09-13,256.000000,259.500000,255.000000,256.500000,256.500000,2511422
2022-09-14,249.500000,254.500000,248.500000,252.500000,252.500000,2127800
2022-09-15,254.000000,256.500000,252.500000,254.000000,254.000000,1755041
2022-09-16,251.500000,257.000000,251.500000,256.500000,256.500000,5448495
2022-09-19,257.000000,257.500000,253.000000,254.500000,254.500000,2155042
2022-09-20,256.000000,256.500000,252.000000,253.500000,253.500000,2705016
2022-09-21,251.500000,253.000000,248.000000,249.000000,249.000000,3827277
2022-09-22,245.000000,247.000000,242.000000,246.500000,246.500000,3753760
2022-09-23,245.000000,248.000000,244.000000,246.000000,246.000000,1354725
2022-09-26,242.500000,244.000000,238.000000,238.500000,238.500000,3547081
2022-09-27,240.500000,246.000000,240.000000,242.000000,242.000000,2263808
